customer_name,total_revenue,total_profit,order_count,regions,profit_margin_pct,revenue_rank
Chandler-Edwards,361936.29,170916.7,51,Central/East/North/South/West,47.22,161
"Walter, Edwards and Rios",360496.23,157412.23,48,Central/East/North/South/West,43.67,162
"Schmidt, Hansen and Stewart",360367.2,157966.94,54,Central/East/North/South/West,43.83,163
"Lewis, Kennedy and Santana",359712.31,172368.39,48,Central/East/North/South/West,47.92,164
Jackson-Lawson,358706.06,164653.87,45,Central/East/North/South/West,45.9,165
"Yates, Ramsey and Pittman",356601.9,178130.61,49,Central/East/North/South/West,49.95,166
Howell and Sons,354991.54,171445.94,49,Central/East/North/South/West,48.3,167
"Mcclure, Ward and Lee",353094.43,157302.78,57,Central/East/North/South/West,44.55,168
Hooper PLC,344709.7,160238.75,51,Central/East/North/South/West,46.49,169
Torres-Pope,342970.09,168021.34,47,Central/East/North/South/West,48.99,170
Morton-Chase,341820.55,162494.7,53,Central/East/North/South/West,47.54,171
Smith-Frost,334217.36,161320.72,43,Central/East/North/South/West,48.27,172
Lee-Davis,327137.06,163521.81,39,Central/East/North/South/West,49.99,173
King-Miller,325985.62,147860.43,51,Central/East/North/South/West,45.36,174
Williams-Cook,324228.85,156467.37,50,Central/East/North/South/West,48.26,175
Wilkerson-Day,322451.39,151218.51,47,Central/East/North/South/West,46.9,176
James Group,322436.07,149881.53,42,Central/East/North/South/West,46.48,177
Curry Inc,320440.94,151986.12,43,Central/East/North/South/West,47.43,178
Powell LLC,316208.82,148465.51,43,Central/East/North/South/West,46.95,179
"Gardner, Robinson and Lawrence",316197.47000000003,155947.55000000002,52,Central/East/North/South/West,49.32,180
Novak and Sons,313467.42,155107.96,46,Central/East/North/South/West,49.48,181
"Washington, Ryan and Cummings",313166.73,138445.74,51,Central/East/North/South/West,44.21,182
Blair PLC,310254.66,144652.68,49,Central/East/North/South/West,46.62,183
"Hernandez, Thompson and Boyd",309226.0,152338.22,38,Central/East/North/South/West,49.26,184
Sanders-Espinoza,307719.53,143502.88999999998,44,Central/East/North/South/West,46.63,185
Sandoval-Cunningham,305474.23,139929.87,49,Central/East/North/South/West,45.81,186
"Turner, Riggs and Roman",298433.35,139910.11,45,Central/East/North/South/West,46.88,187
Walker Ltd,293036.39,137057.1,47,Central/East/North/South/West,46.77,188
"Evans, Stewart and Walton",290301.08,132242.63,49,Central/East/North/South/West,45.55,189
"Rivera, Johnson and Wiley",280882.26,135344.25,37,Central/East/North/South/West,48.19,190
Arnold Ltd,280819.52,127829.71,43,Central/East/North/South/West,45.52,191
Chapman and Sons,278435.58,122568.98,42,Central/East/North/South/West,44.02,192
Nolan and Sons,274127.55,130201.98999999999,39,Central/East/North/South/West,47.5,193
Rodriguez-Johnson,273553.6,127872.22,48,Central/East/North/South/West,46.74,194
"Alvarado, Miller and Patterson",264032.41,120969.66,33,Central/East/North/South/West,45.82,195
Russell-Daniels,259206.15,120980.48999999999,38,Central/East/North/South/West,46.67,196
"Bentley, Byrd and Orr",255741.53,117966.2,39,Central/East/North/South/West,46.13,197
"Gould, Marshall and Scott",235647.79,115997.85,45,Central/East/North/South/West,49.23,198
"Brooks, Lam and Hayes",234638.44,108691.8,44,Central/East/North/South/West,46.32,199
Spence PLC,211801.33,102413.3,44,Central/East/North/South/West,48.35,200
